>>*HEADER*<<
FileID:DSExport.TAB
Version:2
GridSize:{Width=119, Height=74}
Originator:7.Project 2024-11-28 14:55:45.Run 16:38:27.Adaptive PIV
CameraInfo:GenTLCamera.0
TimeStamp:#11, 0.062 s
>>*DATA*<<
X[-]	Y[-]	X (pix)[pix]	Y (pix)[pix]	X (mm)[mm]	Y (mm)[mm]	U pix[pix]	V pix[pix]	U[m/s]	V[m/s]	W[m/s]	Length[m/s]	IA Width[pix]	IA Height[pix]	Peak height 1[-]	Peak height 2[-]	Peak height ratio[-]	Peak width 1[pix]	Peak width 2[pix]	Status[-]
0	0	-38.5	-448.5	-1.0661039268598	-12.4194184318185	-1.44483017921448	-0.613265216350555	-0.00640274110566822	-0.00271767469000337	0	0.00695563436265151	64	64	0.682314693927765	0.0905639678239822	7.53406360522867	2.9647843837738	2.6289963722229	0
1	0	-22.5	-448.5	-0.623047759290785	-12.4194184318185	-1.33891010284424	-0.39690974354744	-0.00593335803446192	-0.00175889898121666	0	0.00618857521496174	64	64	0.698397934436798	0.123474590480328	5.65620774055589	2.82321310043335	3.72231268882751	0
2	0	-6.5	-448.5	-0.179991577169858	-12.4194184318185	-1.24002432823181	-0.138093650341034	-0.00549514735545945	-0.000611959733531466	0	0.00552911739554126	64	64	0.745913565158844	0.119502872228622	6.24180449597753	2.82268452644348	3.01259422302246	0
3	0	9.5	-448.5	0.263064604951069	-12.4194184318185	-1.19266629219055	-0.0504963845014572	-0.00528528099994773	-0.000223773894943755	0	0.00529001606845072	64	64	0.75186562538147	0.122740440070629	6.12565528483375	2.83720064163208	2.82260775566101	0
4	0	25.5	-448.5	0.706120801623911	-12.4194184318185	-1.11431539058685	-0.0916766673326492	-0.00493807027194583	-0.000406263639011578	0	0.00495475409632589	64	64	0.747046232223511	0.130524680018425	5.72340979589498	2.87280917167664	3.03383135795593	0
5	0	41.5	-448.5	1.14917696919292	-12.4194184318185	-1.03697121143341	-0.0996647551655769	-0.00459532081787563	-0.0004416627184739	0	0.00461649643951893	64	64	0.738222599029541	0.155427217483521	4.74963530185962	2.90587162971497	3.74188303947449	0
6	0	57.5	-448.5	1.59223307855427	-12.4194184318185	-0.556461870670319	-0.264707297086716	-0.00246595160063375	-0.00117304602050111	0	0.00273074243803432	64	64	0.745929181575775	0.241594687104225	3.08752311781582	2.95859432220459	2.36472415924072	0
7	0	73.5	-448.5	2.03528930433095	-12.4194184318185	-0.50511372089386	-0.274923920631409	-0.00223840312192431	-0.00121832081920881	0	0.00254848075424518	64	64	0.786810696125031	0.224217250943184	3.50914433575143	2.74290108680725	2.24816274642944	0
8	0	89.5	-448.5	2.47834553010762	-12.4194184318185	-0.412395060062408	-0.266555160284042	-0.00182752190591122	-0.00118123479577822	0	0.00217604043145862	64	64	0.798888564109802	0.189777970314026	4.2095958913876	2.65044593811035	2.47504186630249	0
9	0	105.5	-448.5	2.92140175588429	-12.4194184318185	-0.3484146296978	-0.290949314832687	-0.00154399368415402	-0.00128933708926128	0	0.00201154334441301	64	64	0.820042729377747	0.196755662560463	4.16782276406275	2.54731583595276	2.30487656593323	0
