>>*HEADER*<<
FileID:DSExport.TAB
Version:2
GridSize:{Width=119, Height=74}
Originator:7.Project 2024-11-28 14:55:45.Run 16:40:05.Adaptive PIV
CameraInfo:GenTLCamera.0
TimeStamp:#3, 0.012 s
>>*DATA*<<
X[-]	Y[-]	X (pix)[pix]	Y (pix)[pix]	X (mm)[mm]	Y (mm)[mm]	U pix[pix]	V pix[pix]	U[m/s]	V[m/s]	W[m/s]	Length[m/s]	IA Width[pix]	IA Height[pix]	Peak height 1[-]	Peak height 2[-]	Peak height ratio[-]	Peak width 1[pix]	Peak width 2[pix]	Status[-]
0	0	-38.5	-448.5	-1.0661039268598	-12.4194184318185	0.189906015992165	-0.656492829322815	0.000841269188870275	-0.00290821323978669	0	0.003027447455566	64	64	0.672638416290283	0.170791447162628	3.93836124387303	2.96143817901611	1.88541662693024	0
1	0	-22.5	-448.5	-0.623047759290785	-12.4194184318185	0.175195902585983	-0.641084671020508	0.000776104506704974	-0.00283995627189	0	0.00294409405956656	64	64	0.642864167690277	0.147575423121452	4.35617363713204	2.99317336082458	3.55817818641663	0
2	0	-6.5	-448.5	-0.179991577169858	-12.4194184318185	0.0865852981805801	-0.527403235435486	0.000383566277181408	-0.00233635616946793	0	0.00236763241226371	64	64	0.674828886985779	0.127305313944817	5.30086974435567	2.82828283309937	2.27601504325867	0
3	0	9.5	-448.5	0.263064604951069	-12.4194184318185	0.028655830770731	-0.361328184604645	0.000126943148077475	-0.00160065634145503	0	0.00160568218719771	64	64	0.801071465015411	0.224856853485107	3.56258416232115	2.7373640537262	2.44806981086731	0
4	0	25.5	-448.5	0.706120801623911	-12.4194184318185	0.00501821516081691	-0.284582763910294	2.22303110086367E-05	-0.0012606799721982	0	0.00126087595703511	64	64	0.839535295963287	0.193111315369606	4.34741638187517	2.67614006996155	2.39515614509583	0
5	0	41.5	-448.5	1.14917696919292	-12.4194184318185	-0.0210766773670912	-0.139703795313835	-9.33680756771016E-05	-0.000618877174331424	0	0.000625880623173535	64	64	0.830583810806274	0.19482384622097	4.26325538129569	2.7241051197052	2.88199591636658	0
6	0	57.5	-448.5	1.59223307855427	-12.4194184318185	-0.0379005707800388	-0.0817993059754372	-0.000167896642300996	-0.000362364696181856	0	0.000399371325378923	64	64	0.814943909645081	0.151368588209152	5.3838376857888	2.73682546615601	2.86830806732178	0
7	0	73.5	-448.5	2.03528930433095	-12.4194184318185	-0.0640130713582039	0.0383647605776787	-0.000283573031308461	0.000169952967754943	0	0.00033060198930766	64	64	0.788040518760681	0.18449279665947	4.271389089598	2.75982880592346	2.93337941169739	0
8	0	89.5	-448.5	2.47834553010762	-12.4194184318185	-0.113618642091751	0.0828150883316994	-0.000503321932028806	0.000366864534664892	0	0.000622834291008529	64	64	0.771162450313568	0.194932401180267	3.95605063932097	2.82490253448486	2.60577630996704	0
9	0	105.5	-448.5	2.92140175588429	-12.4194184318185	-0.359958708286285	0.32130828499794	-0.00159458966565488	0.00142337123384585	0	0.00213745219154796	64	64	0.736146211624146	0.125475436449051	5.86685515872309	3.12650966644287	3.3083803653717	0
