>>*HEADER*<<
FileID:DSExport.TAB
Version:2
GridSize:{Width=119, Height=74}
Originator:7.Project 2024-11-28 14:55:45.Run 16:04:32.Adaptive PIV
CameraInfo:GenTLCamera.0
TimeStamp:#10, 0.056 s
>>*DATA*<<
X[-]	Y[-]	X (pix)[pix]	Y (pix)[pix]	X (mm)[mm]	Y (mm)[mm]	U pix[pix]	V pix[pix]	U[m/s]	V[m/s]	W[m/s]	Length[m/s]	IA Width[pix]	IA Height[pix]	Peak height 1[-]	Peak height 2[-]	Peak height ratio[-]	Peak width 1[pix]	Peak width 2[pix]	Status[-]
0	0	-38.5	-448.5	-1.0661039268598	-12.4194184318185	-0.0120260007679462	0.0119589362293482	-5.32972886957041E-05	5.30000695167038E-05	0	7.51638766369103E-05	64	64	0.828506469726563	0.230497241020203	3.59443117869661	2.80627226829529	2.89336490631104	0
1	0	-22.5	-448.5	-0.623047759290785	-12.4194184318185	-0.00661464035511017	0.0183773543685675	-2.93150153095132E-05	8.14454597288428E-05	0	8.65605743571492E-05	64	64	0.825044095516205	0.182835757732391	4.51248763233604	2.80754852294922	3.18343377113342	0
2	0	-6.5	-448.5	-0.179991577169858	-12.4194184318185	0.0457583144307137	0.0294631160795689	0.000202793442433734	0.000130575761125283	0	0.000241195376588299	64	64	0.83461606502533	0.151257306337357	5.51785619640644	2.78803086280823	3.04735898971558	0
3	0	9.5	-448.5	0.263064604951069	-12.4194184318185	0.0683997273445129	0.0279737208038568	0.000303136519390936	0.000123975002359059	0	0.00032750809241663	64	64	0.861188411712646	0.215181484818459	4.00214922040901	2.78304672241211	2.79484868049622	0
4	0	25.5	-448.5	0.706120801623911	-12.4194184318185	0.0994863063097	0.0105545241385698	0.000440907205227365	4.67759424694599E-05	0	0.000443381497601459	64	64	0.852444052696228	0.137876436114311	6.18266671753453	2.75296807289124	1.88272714614868	0
5	0	41.5	-448.5	1.14917696919292	-12.4194184318185	0.121854193508625	0.0283108241856098	0.000540038060493196	0.000125468989978407	0	0.000554421837798129	64	64	0.847504138946533	0.158690854907036	5.34059848277342	2.75921201705933	2.82466220855713	0
6	0	57.5	-448.5	1.59223307855427	-12.4194184318185	0.11626935750246	0.124099992215633	0.00051528697135872	0.000549991076824186	0	0.000753664943750384	64	64	0.846354186534882	0.117476314306259	7.2044666325541	2.74282336235046	2.89927291870117	0
7	0	73.5	-448.5	2.03528930433095	-12.4194184318185	0.084906168282032	0.241295605897903	0.000376290393647322	0.00106938306563418	0	0.00113365541564288	64	64	0.813236951828003	0.134438708424568	6.04912797331953	2.79064798355103	3.21731615066528	0
8	0	89.5	-448.5	2.47834553010762	-12.4194184318185	-0.0350052826106548	0.331294894218445	-0.000155137746053329	0.00146824534284381	0	0.00147641867606484	64	64	0.840073525905609	0.278846651315689	3.0126720975198	2.68341255187988	2.51104426383972	0
9	0	105.5	-448.5	2.92140175588429	-12.4194184318185	-0.0397930964827538	0.341080725193024	-0.000176356562107515	0.0015116145616426	0	0.00152186734637693	64	64	0.842204630374908	0.268315613269806	3.13885807878063	2.621826171875	2.41538691520691	0
10	0	121.5	-448.5	3.36445774883032	-12.4194184318185	-0.0580417849123478	0.346069306135178	-0.000257231795222615	0.00153372314485212	0	0.00155514464971222	64	64	0.84155398607254	0.26315826177597	3.19790068680787	2.63534188270569	2.50630855560303	0
11	0	137.5	-448.5	3.80751397460699	-12.4194184318185	-0.0674219951033592	0.357925415039063	-0.000298803368368465	0.00158626750030754	0	0.00161416481050736	64	64	0.84898167848587	0.241714179515839	3.51233709245526	2.62860345840454	2.50360369682312	0
12	0	153.5	-448.5	4.25057020038366	-12.4194184318185	-0.0999578833580017	0.416681289672852	-0.000442997158368945	0.00184666402558237	0	0.00189905621446629	64	64	0.854646503925323	0.102001637220383	8.37875280451422	2.67064189910889	3.49646091461182	0
13	0	169.5	-448.5	4.69362642616034	-12.4194184318185	-0.0921826288104057	0.442165672779083	-0.000408538488832656	0.00195960668622688	0	0.0020017397587006	64	64	0.868357539176941	0.119807064533234	7.24796607412132	2.62858581542969	2.50803923606873	0
14	0	185.5	-448.5	5.13668265193701	-12.4194184318185	-0.0974974036216736	0.441836297512054	-0.000432092710467483	0.001958146948361	0	0.00200525399433953	64	64	0.858338892459869	0.220705196261406	3.88907423567519	2.73099303245544	1.98537886142731	0
15	0	201.5	-448.5	5.57973887771368	-12.4194184318185	-0.0856019929051399	0.456330895423889	-0.000379374175740386	0.00202238465999447	0	0.0020576599520328	64	64	0.858660459518433	0.117852732539177	7.28587654285397	2.72659850120544	2.52800035476685	0
16	0	217.5	-448.5	6.02279510349035	-12.4194184318185	-0.0656546875834465	0.46135151386261	-0.000290970947522964	0.0020446352282027	0	0.00206523541241911	64	64	0.883023262023926	0.109863176941872	8.03748158940581	2.60872387886047	2.49557423591614	0
17	0	233.5	-448.5	6.46585086360574	-12.4194184318185	-0.034137275069952	0.480473220348358	-0.000151290877141579	0.00212937953602296	0	0.00213474732414392	64	64	0.868151605129242	0.100741185247898	8.61764335006526	2.54430198669434	2.5141134262085	0
18	0	249.5	-448.5	6.90890708938241	-12.4194184318185	-0.0308792404830456	0.508475124835968	-0.000136851795246477	0.00225347944390618	0	0.0022576310632984	64	64	0.87606292963028	0.101888187229633	8.59827771452866	2.74638223648071	3.48580169677734	0
19	0	265.5	-448.5	7.35196331515908	-12.4194184318185	-0.00503419758751988	0.444148331880569	-2.23107487975893E-05	0.00196839351042189	0	0.0019685199469101	64	64	0.847657561302185	0.13617305457592	6.22485530593421	2.79803395271301	2.71732997894287	0
20	0	281.5	-448.5	7.79501954093575	-12.4194184318185	0.0559662692248821	0.399658769369125	0.00024803344566969	0.00177122297111526	0	0.00178850535464033	64	64	0.868678092956543	0.156202852725983	5.56121785099798	2.74906706809998	2.75014591217041	0
21	0	297.5	-448.5	8.23807530105114	-12.4194184318185	0.0981167927384377	0.349891275167465	0.000434837742769421	0.00155066149292231	0	0.0016104766152195	64	64	0.886791348457336	0.107509791851044	8.24847051779244	2.69520115852356	2.72900700569153	0
22	0	313.5	-448.5	8.68113152682781	-12.4194184318185	0.142804309725761	0.273566544055939	0.000632885584269295	0.00121240263969527	0	0.00136764919607184	64	64	0.888859927654266	0.130975663661957	6.78645103069208	2.74014019966125	2.58874225616455	0
23	0	329.5	-448.5	9.12418775260448	-12.4194184318185	0.167183876037598	0.23701810836792	0.000740931875723166	0.00105042588900084	0	0.00128544723452418	64	64	0.907622814178467	0.12341046333313	7.35450455062681	2.69071221351624	2.58915591239929	0
24	0	345.5	-448.5	9.56724397838116	-12.4194184318185	0.158888891339302	0.201313078403473	0.00070416984629025	0.000892186975947045	0	0.00113659701410569	64	64	0.9070965051651	0.136883929371834	6.62675676631877	2.65704274177551	2.78697276115417	0
25	0	361.5	-448.5	10.0103002041578	-12.4194184318185	0.152385845780373	0.175783962011337	0.000675349401053012	0.000779046064620607	0	0.00103102356146866	64	64	0.907261729240417	0.132829502224922	6.83027274847524	2.61990714073181	3.00422334671021	0
26	0	377.5	-448.5	10.4533564299345	-12.4194184318185	0.141819939017296	0.153977245092392	0.000628523012634299	0.000682402225196256	0	0.000927746718864419	64	64	0.91739022731781	0.16410419344902	5.59029119266718	2.46243143081665	2.71136331558228	0
27	0	393.5	-448.5	10.8964126557112	-12.4194184318185	0.0914851576089859	0.151985570788383	0.000405447409371054	0.000673575447082996	0	0.000786187944882619	64	64	0.924162089824677	0.127750426530838	7.234121363983	2.48047375679016	2.12159514427185	0
28	0	409.5	-448.5	11.3394688814878	-12.4194184318185	0.10946810990572	0.15677884221077	0.000485144942961331	0.000694818450116615	0	0.000847430406761173	64	64	0.925826489925385	0.19733864068985	4.69156211215863	2.48663473129272	1.73282527923584	0
29	0	425.5	-448.5	11.7825251072645	-12.4194184318185	0.115471355617046	0.196872934699059	0.000511750356179051	0.000872508977796959	0	0.0010115138868971	64	64	0.94698166847229	0.162194937467575	5.83854023595283	2.48433351516724	2.2866370677948	0
30	0	441.5	-448.5	12.2255813330412	-12.4194184318185	0.128581285476685	0.21809022128582	0.000569851443148206	0.000966540557403055	0	0.00112202108552518	64	64	0.943906664848328	0.156841263175011	6.01822916839858	2.51453471183777	2.38229846954346	0
31	0	457.5	-448.5	12.6686375588179	-12.4194184318185	0.163452461361885	0.209458813071251	0.000724394849902836	0.000928287553404543	0	0.00117748277285553	64	64	0.943118512630463	0.158379793167114	5.95479065713473	2.46819806098938	1.98627328872681	0
32	0	473.5	-448.5	13.1116937845945	-12.4194184318185	0.170373812317848	0.208882689476013	0.000755069156946577	0.000925734266890406	0	0.00119461850172644	64	64	0.935660362243652	0.161981284618378	5.77634857291097	2.48622918128967	2.25897336006165	0
33	0	489.5	-448.5	13.5547500103712	-12.4194184318185	0.259092718362808	0.110393233597279	0.0011482569871726	0.000489244941408003	0	0.00124814050542558	64	64	0.922253608703613	0.184243887662888	5.00561305127836	2.49911570549011	2.7871618270874	0
34	0	505.5	-448.5	13.9978062361479	-12.4194184318185	0.222905039787292	0.0894708335399628	0.000987879053603253	0.000396520251165678	0	0.00106448735743199	64	64	0.92289400100708	0.18213777244091	5.06701047585551	2.48553848266602	2.44268536567688	0
35	0	521.5	-448.5	14.4408624619246	-12.4194184318185	0.167512029409409	0.0876667872071266	0.000742386198347233	0.000388525009848392	0	0.000837907483421738	64	64	0.911243796348572	0.11787635833025	7.73050516029325	2.60468769073486	2.30477380752563	0
36	0	537.5	-448.5	14.8839186877012	-12.4194184318185	0.0493973158299923	0.167069911956787	0.0002189209075723	0.000740426805364939	0	0.000772112827166606	64	64	0.926526427268982	0.124564632773399	7.43811792031262	2.4974148273468	2.53819179534912	0
37	0	553.5	-448.5	15.3269749134779	-12.4194184318185	-0.0609251670539379	0.234514817595482	-0.000270010478126908	0.00103933170951737	0	0.00107383241742211	64	64	0.937605798244476	0.149363443255424	6.27734456175524	2.50771117210388	2.46996593475342	0
38	0	569.5	-448.5	15.7700311392546	-12.4194184318185	-0.0716208145022392	0.285830676555634	-0.000317411856260774	0.00126675528967853	0	0.00130591701513666	64	64	0.92429906129837	0.14646977186203	6.31051069137345	2.56846070289612	1.94343662261963	0
39	0	585.5	-448.5	16.2130873650312	-12.4194184318185	-0.0915417224168777	0.389798164367676	-0.000405698095443207	0.00172752236593341	0	0.00177452091265401	64	64	0.920668423175812	0.130887866020203	7.03402424663036	2.44361805915833	2.054527759552	0
40	0	601.5	-448.5	16.6561435908079	-12.4194184318185	-0.122009798884392	0.600795030593872	-0.000540727678329988	0.00266262632194845	0	0.00271697724547794	64	64	0.877422153949738	0.190781980752945	4.59908294529117	2.71010327339172	2.49366688728333	0
41	0	617.5	-448.5	17.0991998165846	-12.4194184318185	-0.159014821052551	0.815394282341003	-0.000704727946394509	0.00361369546745643	0	0.00368177082528837	64	64	0.898823082447052	0.212826520204544	4.22326635601244	2.58098793029785	2.55735111236572	0
42	0	633.5	-448.5	17.5422560423613	-12.4194184318185	-0.232593327760696	0.927371084690094	-0.0010308159776106	0.00410995852923241	0	0.00423725626929827	64	64	0.901387155056	0.190461277961731	4.73265308677134	2.57577586174011	2.54905796051025	0
43	0	649.5	-448.5	17.9853122681379	-12.4194184318185	-0.264301210641861	0.999298512935638	-0.00117134018182913	0.00442872924797044	0	0.00458101305099607	64	64	0.920020639896393	0.196231976151466	4.68843385232105	2.52393317222595	2.33980131149292	0
44	0	665.5	-448.5	18.4283684939146	-12.4194184318185	-0.242593497037888	1.05936551094055	-0.00107513510907058	0.00469493645978811	0	0.00481646591020885	64	64	0.931955993175507	0.173318192362785	5.37713889390653	2.47283053398132	2.3662440776825	0
45	0	681.5	-448.5	18.8714247196913	-12.4194184318185	-0.226249277591705	1.0012092590332	-0.00100270017420421	0.00443719736537299	0	0.00454907991780999	64	64	0.86906772851944	0.136104986071587	6.38527473242119	2.54092597961426	2.35316777229309	0
46	0	697.5	-448.5	19.3144809454679	-12.4194184318185	-0.129860460758209	0.899173676967621	-0.000575520540929535	0.00398499218265934	0	0.00402633662140759	64	64	0.836030304431915	0.180097162723541	4.64210702594614	2.67091369628906	3.34006190299988	0
47	0	713.5	-448.5	19.7575371712446	-12.4194184318185	-0.0966679826378822	0.850572168827057	-0.000428416850929769	0.00376959816594529	0	0.00379386495949166	64	64	0.835290551185608	0.20473575592041	4.07984695897634	2.70438504219055	1.94566237926483	0
48	0	729.5	-448.5	20.2005933970213	-12.4194184318185	-0.130702644586563	0.713080167770386	-0.000579252963328365	0.0031602558737679	0	0.00321290385527005	64	64	0.830801427364349	0.18488883972168	4.49351853045855	2.70103144645691	3.22339081764221	0
49	0	745.5	-448.5	20.6436477601528	-12.4194184318185	-0.170025482773781	0.663397073745728	-0.000753525416793085	0.00294006844349716	0	0.00303509522193308	64	64	0.838893473148346	0.11030787974596	7.60501856331862	2.78597068786621	2.71424174308777	0
50	0	761.5	-448.5	21.0867039859295	-12.4194184318185	-0.230075597763062	0.580356001853943	-0.00101965780581841	0.00257204385513909	0	0.00276678724041535	64	64	0.911282956600189	0.171068072319031	5.32701949724848	2.41655397415161	2.10699892044067	0
51	0	777.5	-448.5	21.5297602117062	-12.4194184318185	-0.203884392976761	0.581906616687775	-0.000903582625904533	0.00257891592907699	0	0.0027326304051378	64	64	0.911590933799744	0.242860034108162	3.75356504065115	2.38088202476501	1.73557019233704	0
52	0	793.5	-448.5	21.9728164374828	-12.4194184318185	-0.189253091812134	0.536568641662598	-0.000838739067583516	0.00237798536284619	0	0.00252156649910361	64	64	0.903917849063873	0.134773001074791	6.70696535548877	2.40178608894348	3.02780723571777	0
53	0	809.5	-448.5	22.4158726632595	-12.4194184318185	-0.176029771566391	0.50997120141983	-0.000780135452778205	0.00226010981314859	0	0.00239096375802144	64	64	0.909190118312836	0.138405337929726	6.5690394020386	2.382892370224	2.9741063117981	0
