>>*HEADER*<<
FileID:DSExport.TAB
Version:2
GridSize:{Width=119, Height=74}
Originator:7.Project 2024-11-28 14:55:45.Run 16:36:24.Adaptive PIV
CameraInfo:GenTLCamera.0
TimeStamp:#10, 0.056 s
>>*DATA*<<
X[-]	Y[-]	X (pix)[pix]	Y (pix)[pix]	X (mm)[mm]	Y (mm)[mm]	U pix[pix]	V pix[pix]	U[m/s]	V[m/s]	W[m/s]	Length[m/s]	IA Width[pix]	IA Height[pix]	Peak height 1[-]	Peak height 2[-]	Peak height ratio[-]	Peak width 1[pix]	Peak width 2[pix]	Status[-]
0	0	-38.5	-448.5	-1.0661039268598	-12.4194184318185	-0.361231178045273	-0.087154246866703	-0.00160079000673759	-0.00038622260731734	0	0.0016467229724741	64	64	0.757489621639252	0.162317350506783	4.66671997339927	2.57192015647888	2.28229880332947	0
1	0	-22.5	-448.5	-0.623047759290785	-12.4194184318185	-0.324816644191742	-0.077202282845974	-0.00143941960064979	-0.000342120642924337	0	0.00147951861125495	64	64	0.750237107276917	0.105811238288879	7.09033482085017	2.59911894798279	2.24906945228577	0
2	0	-6.5	-448.5	-0.179991577169858	-12.4194184318185	-0.299411326646805	-0.0674857646226883	-0.00132683635502853	-0.000299062052698855	0	0.00136012235640395	64	64	0.757047772407532	0.129276394844055	5.85604025638827	2.59012651443481	2.43723821640015	0
3	0	9.5	-448.5	0.263064604951069	-12.4194184318185	-0.0775039494037628	-0.0443217158317566	-0.000343457473298969	-0.000196410952589611	0	0.000395651738606152	64	64	0.810578525066376	0.143226698040962	5.65940942682735	2.63086724281311	2.72196125984192	0
4	0	25.5	-448.5	0.706120801623911	-12.4194184318185	0.0145586114376783	-0.0831312984228134	6.45162464312266E-05	-0.000368394977649693	0	0.000374001611776062	64	64	0.846277117729187	0.152787432074547	5.53891839294922	2.63234090805054	3.38393759727478	0
5	0	41.5	-448.5	1.14917696919292	-12.4194184318185	0.0173217877745628	-0.0757042840123177	7.67612167875344E-05	-0.000335482285803565	0	0.000344152071751265	64	64	0.841390430927277	0.231137678027153	3.64021321884368	2.62831974029541	2.09156489372253	0
6	0	57.5	-448.5	1.59223307855427	-12.4194184318185	0.00112509995233268	-0.0719966441392899	4.98586187942328E-06	-0.000319051940866449	0	0.000319090895810784	64	64	0.839958846569061	0.205585658550262	4.08568794385871	2.60942006111145	1.98382461071014	0
7	0	73.5	-448.5	2.03528930433095	-12.4194184318185	-0.118840031325817	-0.0510059297084808	-0.000526637638467929	-0.000226031936123363	0	0.000573094790064221	64	64	0.732955873012543	0.221385285258293	3.31077050652844	2.67095375061035	2.07969927787781	0
8	0	89.5	-448.5	2.47834553010762	-12.4194184318185	-0.802937746047974	0.0925306603312492	-0.00355820537657166	0.00041004809489764	0	0.00358175445026493	64	64	0.735584139823914	0.165679112076759	4.43981218032552	2.64130163192749	2.67833304405212	0
9	0	105.5	-448.5	2.92140175588429	-12.4194184318185	-0.939207553863525	0.140120223164558	-0.00416208278203705	0.000620940457569127	0	0.00420814687675887	64	64	0.769787728786469	0.147153258323669	5.23119730786586	2.58484530448914	2.62304854393005	0
10	0	121.5	-448.5	3.36445774883032	-12.4194184318185	-1.01152181625366	0.142400026321411	-0.00448254224294279	0.000631043367651715	0	0.00452674283471281	64	64	0.773250579833984	0.149518996477127	5.17158754441128	2.60358047485352	2.33347654342651	0
11	0	137.5	-448.5	3.80751397460699	-12.4194184318185	-1.09915256500244	0.119470156729221	-0.0048708764604903	0.00052943002879874	0	0.0048995646386952	64	64	0.714025437831879	0.165078729391098	4.32536305837585	2.76430463790894	2.03418111801147	0
12	0	153.5	-448.5	4.25057020038366	-12.4194184318185	-1.26634168624878	-0.00619078893214464	-0.00561177229338775	-2.74343790312496E-05	0	0.00561183935247502	64	64	0.775112569332123	0.0822503417730331	9.42382186655246	2.79566097259521	3.59518980979919	0
13	0	169.5	-448.5	4.69362642616034	-12.4194184318185	-1.30563163757324	-0.179773107171059	-0.00578588506456589	-0.000796661558940879	0	0.00584047392082704	64	64	0.742474675178528	0.161201253533363	4.6058864860183	2.81022882461548	2.15624761581421	0
14	0	185.5	-448.5	5.13668265193701	-12.4194184318185	-1.37571287155151	-0.514654159545898	-0.00609644889689986	-0.00228068141843436	0	0.00650908571804853	64	64	0.719527840614319	0.152912929654121	4.70547416913561	2.70103764533997	2.61881160736084	0
15	0	201.5	-448.5	5.57973887771368	-12.4194184318185	-1.3277428150177	-0.931037187576294	-0.00588387038267111	-0.0041258759386113	0	0.0071862913203464	64	64	0.826162219047546	0.27373269200325	3.0181350024415	2.69457459449768	2.11360287666321	0
16	0	217.5	-448.5	6.02279510349035	-12.4194184318185	-1.33448433876038	-0.982126772403717	-0.00591374533393046	-0.0043522785910143	0	0.00734266387684917	64	64	0.838202595710754	0.232599511742592	3.60363007398897	2.6912899017334	2.74667763710022	0
17	0	233.5	-448.5	6.46585086360574	-12.4194184318185	-1.35209763050079	-0.996319174766541	-0.00599179834573411	-0.0044151719879712	0	0.00744280801171893	64	64	0.849238455295563	0.198820829391479	4.27137567977552	2.68243098258972	2.50650954246521	0
18	0	249.5	-448.5	6.90890708938241	-12.4194184318185	-1.34456539154053	-0.810331225395203	-0.00595841935303143	-0.0035909694583381	0	0.00695685437804303	64	64	0.788646519184113	0.167085215449333	4.72002574891649	2.9052107334137	2.89173603057861	0
19	0	265.5	-448.5	7.35196331515908	-12.4194184318185	-1.39050829410553	-0.730623602867126	-0.00616201456788677	-0.00323774644393993	0	0.00696084948624048	64	64	0.800809323787689	0.189871653914452	4.21763495117866	2.90471315383911	2.76952767372131	0
20	0	281.5	-448.5	7.79501954093575	-12.4194184318185	-1.37366604804993	-0.676318347454071	-0.00608737843231642	-0.00299709360038151	0	0.00678518579168462	64	64	0.810970485210419	0.152269050478935	5.32590492066283	2.85438752174377	2.82918667793274	0
21	0	297.5	-448.5	8.23807530105114	-12.4194184318185	-1.27563774585724	-0.604055047035217	-0.0056529676281974	-0.00267685997661086	0	0.00625472799886844	64	64	0.784533321857452	0.130339130759239	6.01916951024196	2.88723611831665	2.71350741386414	0
22	0	313.5	-448.5	8.68113152682781	-12.4194184318185	-1.1784782409668	-0.647850394248962	-0.00522240688499184	-0.00287093833535259	0	0.00595951513109978	64	64	0.804816067218781	0.160276263952255	5.02143016921412	2.7651743888855	2.65129804611206	0
23	0	329.5	-448.5	9.12418775260448	-12.4194184318185	-1.08573698997498	-0.46341073513031	-0.00481142556105572	-0.0020535970284341	0	0.00523135514802558	64	64	0.824693322181702	0.162945181131363	5.06117036696441	2.80749702453613	3.95210456848145	0
24	0	345.5	-448.5	9.56724397838116	-12.4194184318185	-1.03785824775696	-0.359342753887177	-0.00459925170471112	-0.00159242148623191	0	0.00486712671225038	64	64	0.917484998703003	0.0946710482239723	9.69129439163303	2.44870519638062	2.52142548561096	0
25	0	361.5	-448.5	10.0103002041578	-12.4194184318185	-0.950368344783783	-0.296054005622864	-0.00421154164289484	-0.00131195844229237	0	0.00441115834720764	64	64	0.856910705566406	0.187345430254936	4.57396107500641	2.49449038505554	2.42401647567749	0
