>>*HEADER*<<
FileID:DSExport.TAB
Version:2
GridSize:{Width=119, Height=74}
Originator:7.Project 2024-11-28 14:55:45.Run 16:33:27.Adaptive PIV
CameraInfo:GenTLCamera.0
TimeStamp:#11, 0.062 s
>>*DATA*<<
X[-]	Y[-]	X (pix)[pix]	Y (pix)[pix]	X (mm)[mm]	Y (mm)[mm]	U pix[pix]	V pix[pix]	U[m/s]	V[m/s]	W[m/s]	Length[m/s]	IA Width[pix]	IA Height[pix]	Peak height 1[-]	Peak height 2[-]	Peak height ratio[-]	Peak width 1[pix]	Peak width 2[pix]	Status[-]
0	0	-38.5	-448.5	-1.0661039268598	-12.4194184318185	-1.15253436565399	0.56379234790802	-0.00510563947052027	0.00249755716656926	0	0.00568377921837364	64	64	0.601041197776794	0.120462544262409	4.98944465648607	2.80624222755432	2.83828663825989	0
1	0	-22.5	-448.5	-0.623047759290785	-12.4194184318185	-1.1074446439743	0.943278849124908	-0.0049058954372116	0.0041786534678003	0	0.00644429630330675	64	64	0.632033705711365	0.116931609809399	5.40515696945928	2.83540058135986	2.497718334198	0
2	0	-6.5	-448.5	-0.179991577169858	-12.4194184318185	-1.01586842536926	1.26538634300232	-0.00450021976262502	0.00560556513611978	0	0.00718848651714688	64	64	0.624081969261169	0.114148534834385	5.46727971731423	2.79444169998169	2.42534184455872	0
3	0	9.5	-448.5	0.263064604951069	-12.4194184318185	-0.725539267063141	1.92909550666809	-0.00321408370086035	0.0085457461874979	0	0.00913017589848471	64	64	0.796707928180695	0.186977803707123	4.26097596818838	2.81431031227112	2.69288229942322	0
4	0	25.5	-448.5	0.706120801623911	-12.4194184318185	-0.703825354576111	1.94015002250671	-0.0031178927221295	0.00859471685082484	0	0.00914277926959633	64	64	0.819577574729919	0.178498595952988	4.59150712281108	2.76061964035034	2.37113404273987	0
5	0	41.5	-448.5	1.14917696919292	-12.4194184318185	-0.665753841400146	2.00056886672974	-0.00294923881803238	0.0088623677296368	0	0.00934021259828152	64	64	0.831823885440826	0.202633053064346	4.10507502533005	2.74013543128967	2.22126197814941	0
6	0	57.5	-448.5	1.59223307855427	-12.4194184318185	-0.578835368156433	1.99385917186737	-0.00256419660069369	0.00883264429236211	0	0.00919732077305157	64	64	0.845232844352722	0.134102806448936	6.30287215260159	2.76600098609924	2.73853421211243	0
7	0	73.5	-448.5	2.03528930433095	-12.4194184318185	-0.444278240203857	1.91416931152344	-0.0019681187708368	0.00847962427968651	0	0.00870502839861934	64	64	0.798722386360168	0.204365879297256	3.90829618479708	2.7744779586792	2.42840957641602	0
8	0	89.5	-448.5	2.47834553010762	-12.4194184318185	-0.415648311376572	1.83871507644653	-0.00184129036639626	0.00814536776438689	0	0.00835089014599623	64	64	0.728280484676361	0.200378969311714	3.63451557405424	2.90618515014648	2.50765991210938	0
9	0	105.5	-448.5	2.92140175588429	-12.4194184318185	-0.370821297168732	1.54134738445282	-0.00164271010718182	0.00682805153439396	0	0.00702287578222604	64	64	0.756461381912231	0.147668570280075	5.12269727049901	2.98787784576416	2.62389922142029	0
10	0	121.5	-448.5	3.36445774883032	-12.4194184318185	-0.233280703425407	1.17804515361786	-0.00103341575107277	0.00521865031846882	0	0.00531998677263581	64	64	0.757982671260834	0.159105822443962	4.76401592108799	2.76468300819397	2.15079712867737	0
11	0	137.5	-448.5	3.80751397460699	-12.4194184318185	-0.216026782989502	1.03451502323151	-0.000956982197485157	0.00458282277115429	0	0.00468167485822262	64	64	0.754042565822601	0.173886731266975	4.33640083017541	2.79133057594299	2.53691077232361	0
12	0	153.5	-448.5	4.25057020038366	-12.4194184318185	-0.232967391610146	0.771813273429871	-0.00103202780359089	0.00341907402514541	0	0.00357143508646156	64	64	0.797748327255249	0.200581073760986	3.97718644285378	2.69545412063599	2.60037589073181	0
13	0	169.5	-448.5	4.69362642616034	-12.4194184318185	-0.407884776592255	0.397627055644989	-0.00180689849852075	0.00176145757588394	0	0.00252341335805204	64	64	0.815877437591553	0.148600772023201	5.49039837736624	2.9298985004425	2.65925693511963	0
14	0	185.5	-448.5	5.13668265193701	-12.4194184318185	-0.537920832633972	0.409444779157639	-0.0023829483241072	0.00181380919108601	0	0.00299471976936631	64	64	0.858828186988831	0.113923199474812	7.53865929808895	2.79732346534729	2.28311276435852	0
15	0	201.5	-448.5	5.57973887771368	-12.4194184318185	-0.556639432907104	0.419261932373047	-0.00246587029783348	0.00185729843222139	0	0.00308708175986147	64	64	0.835479438304901	0.11809853464365	7.07442679814676	2.81393814086914	2.75778603553772	0
16	0	217.5	-448.5	6.02279510349035	-12.4194184318185	-0.72158294916153	0.500150501728058	-0.00319655751384299	0.00221562863453038	0	0.00388934315604281	64	64	0.805161356925964	0.14549657702446	5.53388521841724	2.90525245666504	2.41068124771118	0
17	0	233.5	-448.5	6.46585086360574	-12.4194184318185	-0.846443235874176	0.598335802555084	-0.00374967907545372	0.00265058204005674	0	0.004591914450419	64	64	0.83616030216217	0.137101218104362	6.09885392502989	2.82823657989502	2.04453063011169	0
18	0	249.5	-448.5	6.90890708938241	-12.4194184318185	-1.06213176250458	0.781433939933777	-0.00470516282302741	0.00346169284511195	0	0.00584139320240458	64	64	0.852123200893402	0.149899587035179	5.68462674078896	2.78186821937561	2.15825986862183	0
19	0	265.5	-448.5	7.35196331515908	-12.4194184318185	-1.12763297557831	0.874683678150177	-0.00499532820880871	0.00387478208413275	0	0.00632196489338846	64	64	0.864327728748322	0.13577327132225	6.36596378897646	2.79284048080444	2.67951774597168	0
20	0	281.5	-448.5	7.79501954093575	-12.4194184318185	-1.16979384422302	0.943953454494476	-0.00518209764621436	0.00418164191821404	0	0.00665884863524207	64	64	0.824585378170013	0.202492371201515	4.07217997042174	2.74846816062927	1.9172431230545	0
21	0	297.5	-448.5	8.23807530105114	-12.4194184318185	-1.17454028129578	1.01238703727722	-0.00520312400098968	0.00448479747849657	0	0.00686919993833372	64	64	0.878393411636353	0.157638803124428	5.57219031245129	2.66295981407166	2.02321720123291	0
22	0	313.5	-448.5	8.68113152682781	-12.4194184318185	-1.15877759456635	1.03717660903931	-0.00513329649915934	0.00459461339359423	0	0.00688920932944246	64	64	0.877236127853394	0.0981689840555191	8.93598050640186	2.61733460426331	3.00545597076416	0
23	0	329.5	-448.5	9.12418775260448	-12.4194184318185	-1.1735737323761	1.04234802722931	-0.00519884226288142	0.00461752238235524	0	0.00695337859071931	64	64	0.870999097824097	0.17229562997818	5.0552593698076	2.62785506248474	1.95540130138397	0
24	0	345.5	-448.5	9.56724397838116	-12.4194184318185	-1.19089210033417	1.04028725624084	-0.00527556131408432	0.00460839332381091	0	0.00700491514621041	64	64	0.868471741676331	0.154398158192635	5.62488407790968	2.84428763389587	3.33664560317993	0
25	0	361.5	-448.5	10.0103002041578	-12.4194184318185	-1.24313580989838	1.00426709651947	-0.00550699696892145	0.00444882675930024	0	0.0070794826894326	64	64	0.835558116436005	0.131693795323372	6.34470374541417	2.95272088050842	3.56545114517212	0
26	0	377.5	-448.5	10.4533564299345	-12.4194184318185	-1.2458735704422	0.975886583328247	-0.00551912503964101	0.00432310324713363	0	0.00701070345176358	64	64	0.88091379404068	0.135147303342819	6.51817514853496	2.90541839599609	3.97408652305603	0
