>>*HEADER*<<
FileID:DSExport.TAB
Version:2
GridSize:{Width=119, Height=74}
Originator:7.Project 2024-11-28 14:55:45.Run 16:20:25.Adaptive PIV
CameraInfo:GenTLCamera.0
TimeStamp:#16, 0.094 s
>>*DATA*<<
X[-]	Y[-]	X (pix)[pix]	Y (pix)[pix]	X (mm)[mm]	Y (mm)[mm]	U pix[pix]	V pix[pix]	U[m/s]	V[m/s]	W[m/s]	Length[m/s]	IA Width[pix]	IA Height[pix]	Peak height 1[-]	Peak height 2[-]	Peak height ratio[-]	Peak width 1[pix]	Peak width 2[pix]	Status[-]
0	0	-38.5	-448.5	-1.0661039268598	-12.4194184318185	0.12227114289999	0.920948386192322	0.000541469943986108	0.00407836108552228	0	0.00411414861716768	64	64	0.660978436470032	0.349394947290421	1.89178018055487	2.81646776199341	2.43333625793457	0
1	0	-22.5	-448.5	-0.623047759290785	-12.4194184318185	0.0541506335139275	0.861317038536072	0.000239802620636181	0.00381428747248951	0	0.00382181818244333	64	64	0.647177517414093	0.228091448545456	2.83735984641756	2.90188646316528	3.72965002059937	0
2	0	-6.5	-448.5	-0.179991577169858	-12.4194184318185	0.0332840718328953	0.79870080947876	0.000147396385471987	0.00353699550288704	0	0.00354006537819478	64	64	0.673419177532196	0.311343878507614	2.16294336911373	2.7894721031189	2.4674961566925	0
3	0	9.5	-448.5	0.263064604951069	-12.4194184318185	-0.2170270383358	0.579388320446014	-0.000961090372625986	0.00256578415787536	0	0.00273988011583692	64	64	0.709339916706085	0.184891253709793	3.83652499765874	3.00486207008362	3.64722466468811	0
4	0	25.5	-448.5	0.706120801623911	-12.4194184318185	-0.399200707674026	0.66178035736084	-0.00176783482755429	0.00293065202902679	0	0.0034225664774775	64	64	0.712151944637299	0.146627187728882	4.85688879168909	3.16837668418884	4.48245191574097	0
5	0	41.5	-448.5	1.14917696919292	-12.4194184318185	-0.346882224082947	0.847679257392883	-0.00153614576578874	0.00375389343006417	0	0.00405603990340697	64	64	0.791052103042603	0.172546118497849	4.58458358802471	2.96044087409973	2.78873300552368	0
6	0	57.5	-448.5	1.59223307855427	-12.4194184318185	-0.358763843774796	0.947635233402252	-0.00158876275943434	0.00419654208327206	0	0.004487218800375	64	64	0.791927337646484	0.13459999859333	5.88356126242727	2.90110349655151	2.6008882522583	0
7	0	73.5	-448.5	2.03528930433095	-12.4194184318185	-0.244711220264435	1.14222931861877	-0.00108368800345422	0.00505828955633201	0	0.00517307190405546	64	64	0.833048403263092	0.107433378696442	7.75409293993175	2.66690587997437	2.85753560066223	0
8	0	89.5	-448.5	2.47834553010762	-12.4194184318185	-0.219999134540558	1.10746741294861	-0.000974252110770756	0.00490434867813583	0	0.00500018030995622	64	64	0.824544489383698	0.114413976669312	7.20667625920269	2.82970142364502	2.76934313774109	0
9	0	105.5	-448.5	2.92140175588429	-12.4194184318185	-0.145654246211052	1.15080618858337	-0.000645020522967922	0.00509627167696293	0	0.00513692870112719	64	64	0.782667756080627	0.131030201911926	5.9731859118	2.86516046524048	2.8260190486908	0
