>>*HEADER*<<
FileID:DSExport.TAB
Version:2
GridSize:{Width=119, Height=74}
Originator:7.Project 2024-11-28 14:55:45.Run 16:28:51.Adaptive PIV
CameraInfo:GenTLCamera.0
TimeStamp:#21, 0.125 s
>>*DATA*<<
X[-]	Y[-]	X (pix)[pix]	Y (pix)[pix]	X (mm)[mm]	Y (mm)[mm]	U pix[pix]	V pix[pix]	U[m/s]	V[m/s]	W[m/s]	Length[m/s]	IA Width[pix]	IA Height[pix]	Peak height 1[-]	Peak height 2[-]	Peak height ratio[-]	Peak width 1[pix]	Peak width 2[pix]	Status[-]
0	0	-38.5	-448.5	-1.0661039268598	-12.4194184318185	-0.0837277993559837	-0.574439823627472	-0.000371038361695321	-0.002545620602604	0	0.00257251894419682	64	64	0.730259895324707	0.150964513421059	4.83729506210458	2.71245861053467	2.21503686904907	0
1	0	-22.5	-448.5	-0.623047759290785	-12.4194184318185	-0.0755243748426437	-0.536433696746826	-0.000334685021285887	-0.00237719707827103	0	0.00240064158349668	64	64	0.701459527015686	0.109939195215702	6.38043170717608	2.74817967414856	2.32770371437073	0
2	0	-6.5	-448.5	-0.179991577169858	-12.4194184318185	-0.0502443350851536	-0.450418680906296	-0.000222656942113143	-0.00199602295445373	0	0.00200840328335157	64	64	0.715239584445953	0.151680395007133	4.71543856681225	2.6637327671051	1.98091089725494	0
3	0	9.5	-448.5	0.263064604951069	-12.4194184318185	-0.0221784189343452	-0.269569158554077	-9.82832976584598E-05	-0.00119459127939379	0	0.00119862751987526	64	64	0.666874647140503	0.0956045687198639	6.97534287398491	2.77983570098877	2.70513081550598	0
4	0	25.5	-448.5	0.706120801623911	-12.4194184318185	-0.0917719751596451	-0.154751047492027	-0.000406685994074738	-0.000685776714230256	0	0.000797297434811503	64	64	0.674462676048279	0.132245674729347	5.1000736124537	2.86827898025513	2.12715983390808	0
5	0	41.5	-448.5	1.14917696919292	-12.4194184318185	-0.0681660622358322	-0.114472985267639	-0.0003020767803495	-0.000507285145898702	0	0.000590413923002996	64	64	0.723306238651276	0.131312295794487	5.50829025016287	2.81333947181702	3.2252197265625	0
6	0	57.5	-448.5	1.59223307855427	-12.4194184318185	-0.0748063176870346	-0.0869681984186172	-0.000331502962845678	-0.000385398136688651	0	0.000508356113505628	64	64	0.766098856925964	0.109885059297085	6.97182002563918	2.88333010673523	3.34137487411499	0
7	0	73.5	-448.5	2.03528930433095	-12.4194184318185	-0.0447503626346588	-0.0289011318236589	-0.000198310493825832	-0.000128074888931433	0	0.000236072508217802	64	64	0.836246907711029	0.127714097499847	6.54780422898911	2.56435871124268	2.24551773071289	0
8	0	89.5	-448.5	2.47834553010762	-12.4194184318185	0.00107930973172188	-0.0289802942425013	4.7829432721294E-06	-0.000128425695884691	0	0.000128514730322293	64	64	0.852891564369202	0.207117348909378	4.11791464529789	2.59974980354309	1.62189126014709	0
9	0	105.5	-448.5	2.92140175588429	-12.4194184318185	0.0336606241762638	-0.0276044830679893	0.000149166500780726	-0.000122328811359844	0	0.000192911853041431	64	64	0.859668254852295	0.0964117050170898	8.91663781591572	2.57750678062439	3.2010486125946	0
