>>*HEADER*<<
FileID:DSExport.TAB
Version:2
GridSize:{Width=119, Height=74}
Originator:7.Project 2024-11-28 14:55:45.Run 16:30:42.Adaptive PIV
CameraInfo:GenTLCamera.0
TimeStamp:#17, 0.100 s
>>*DATA*<<
X[-]	Y[-]	X (pix)[pix]	Y (pix)[pix]	X (mm)[mm]	Y (mm)[mm]	U pix[pix]	V pix[pix]	U[m/s]	V[m/s]	W[m/s]	Length[m/s]	IA Width[pix]	IA Height[pix]	Peak height 1[-]	Peak height 2[-]	Peak height ratio[-]	Peak width 1[pix]	Peak width 2[pix]	Status[-]
0	0	-38.5	-448.5	-1.0661039268598	-12.4194184318185	-0.746435642242432	-0.490849196910858	-0.00330924712777732	-0.00217613040311049	0	0.00396063884796938	64	64	0.746671915054321	0.153934985399246	4.85056670592296	2.93169689178467	2.57583594322205	0
1	0	-22.5	-448.5	-0.623047759290785	-12.4194184318185	-0.720943510532379	-0.533676266670227	-0.0031962303332028	-0.00236599989697139	0	0.00397666240148121	64	64	0.772876143455505	0.104026786983013	7.42958776167633	2.79792904853821	2.23320269584656	0
2	0	-6.5	-448.5	-0.179991577169858	-12.4194184318185	-0.733928918838501	-0.6164231300354	-0.00325379983110479	-0.00273284976911998	0	0.00424919771268374	64	64	0.780356645584106	0.103059776127338	7.57188376403918	2.74727177619934	2.49531745910645	0
3	0	9.5	-448.5	0.263064604951069	-12.4194184318185	-0.540625929832458	-0.836477816104889	-0.00239681052759662	-0.00370844002314603	0	0.00441556656732399	64	64	0.763255655765533	0.202889069914818	3.76193580110542	2.66403603553772	2.5970823764801	0
4	0	25.5	-448.5	0.706120801623911	-12.4194184318185	-0.40607950091362	-1.07209002971649	-0.00180031250652845	-0.00475300300626014	0	0.00508253506615357	64	64	0.833105564117432	0.205175787210464	4.06044775284742	2.70022201538086	2.45871114730835	0
5	0	41.5	-448.5	1.14917696919292	-12.4194184318185	-0.367964625358582	-1.11056923866272	-0.00163133405035883	-0.00492359669776971	0	0.00518681551880814	64	64	0.837135910987854	0.203669428825378	4.11026787778541	2.7229483127594	2.29911637306213	0
6	0	57.5	-448.5	1.59223307855427	-12.4194184318185	-0.345755636692047	-1.11568427085876	-0.00153287273930089	-0.00494627367706346	0	0.00517835129392577	64	64	0.83147794008255	0.195530459284782	4.2524215568457	2.74024367332458	2.10584616661072	0
7	0	73.5	-448.5	2.03528930433095	-12.4194184318185	-0.351375192403793	-1.0824488401413	-0.0015577864727108	-0.00479892774739722	0	0.00504543419531954	64	64	0.814854562282562	0.1402338296175	5.81068465793987	2.77257966995239	2.63406944274902	0
8	0	89.5	-448.5	2.47834553010762	-12.4194184318185	-0.113770358264446	-0.770846903324127	-0.00050438940748027	-0.00341747199144719	0	0.00345449323153257	64	64	0.750464677810669	0.141112968325615	5.3181836277371	2.94229793548584	2.17505812644958	0
9	0	105.5	-448.5	2.92140175588429	-12.4194184318185	-0.131413757801056	-0.681825876235962	-0.000582609639656416	-0.0030228062473004	0	0.00307843979979127	64	64	0.762109041213989	0.159754261374474	4.77050837115111	2.90462160110474	2.76780319213867	0
10	0	121.5	-448.5	3.36445774883032	-12.4194184318185	-0.10643320530653	-0.529695272445679	-0.000471860879931526	-0.00234835056063517	0	0.00239528767492451	64	64	0.868073463439941	0.133720219135284	6.49171433500056	2.69651436805725	1.93989026546478	0
11	0	137.5	-448.5	3.80751397460699	-12.4194184318185	-0.075858935713768	-0.522121369838715	-0.000336312939683416	-0.00231477242739803	0	0.00233907626725609	64	64	0.889418065547943	0.158925890922546	5.5964327799893	2.65703272819519	2.48186707496643	0
12	0	153.5	-448.5	4.25057020038366	-12.4194184318185	-0.112238921225071	-0.534966766834259	-0.000497599935840492	-0.00237172119927736	0	0.00242335864932331	64	64	0.886130273342133	0.149183750152588	5.93985787618143	2.65611910820007	2.64572024345398	0
13	0	169.5	-448.5	4.69362642616034	-12.4194184318185	-0.104100495576859	-0.504694759845734	-0.000461519046642775	-0.00223751330979626	0	0.00228461498767942	64	64	0.870788395404816	0.162020981311798	5.37454092892478	2.71672821044922	2.37556123733521	0
14	0	185.5	-448.5	5.13668265193701	-12.4194184318185	-0.0550093352794647	-0.458719909191132	-0.000243878339233142	-0.00203368844684937	0	0.00204825910060122	64	64	0.859727501869202	0.156661719083786	5.48779565867908	2.69962620735168	2.41464591026306	0
15	0	201.5	-448.5	5.57973887771368	-12.4194184318185	0.00808991957455873	-0.460879981517792	3.58658424129256E-05	-0.00204326490962561	0	0.00204357966557689	64	64	0.856113910675049	0.158141598105431	5.41359086370362	2.74698615074158	1.66200840473175	0
16	0	217.5	-448.5	6.02279510349035	-12.4194184318185	0.0458285138010979	-0.443068712949753	0.000203176093267703	-0.00196430044703138	0	0.00197478018297814	64	64	0.857595980167389	0.11322645097971	7.57416639616366	2.75016307830811	2.51062226295471	0
17	0	233.5	-448.5	6.46585086360574	-12.4194184318185	0.0855707079172134	-0.434778839349747	0.000379369102132102	-0.00192754812861576	0	0.00196452607612692	64	64	0.866542935371399	0.101792812347412	8.51281063356365	2.71954655647278	2.37196469306946	0
18	0	249.5	-448.5	6.90890708938241	-12.4194184318185	0.0404733531177044	-0.404267311096191	0.000179434528546776	-0.00179227834576638	0	0.00180123802389853	64	64	0.865235090255737	0.104131005704403	8.30910144776555	2.72283744812012	3.422602891922	0
19	0	265.5	-448.5	7.35196331515908	-12.4194184318185	-0.105577230453491	-0.329630434513092	-0.000468066001761778	-0.00146138328197108	0	0.00153451193505617	64	64	0.868977606296539	0.107648625969887	8.07235204785265	2.63103747367859	2.36677885055542	0
20	0	281.5	-448.5	7.79501954093575	-12.4194184318185	-0.356776505708694	-0.257873237133026	-0.00158173265042382	-0.00114325498545251	0	0.00195164293332022	64	64	0.858478009700775	0.176000311970711	4.87770731817589	2.74925637245178	2.7666232585907	0
21	0	297.5	-448.5	8.23807530105114	-12.4194184318185	-0.456874996423721	-0.236532330513	-0.00202550921218929	-0.00104864222858532	0	0.00228086345322031	64	64	0.870829403400421	0.186535254120827	4.66844408315625	2.72491884231567	2.70899748802185	0
22	0	313.5	-448.5	8.68113152682781	-12.4194184318185	-0.573472857475281	-0.263895273208618	-0.00254243406806927	-0.0011699530749578	0	0.00279870705649635	64	64	0.879243433475494	0.16885057091713	5.20722807568723	2.80844974517822	2.54339241981506	0
23	0	329.5	-448.5	9.12418775260448	-12.4194184318185	-0.6002436876297	-0.385338246822357	-0.00266111984321605	-0.00170835824866127	0	0.00316228504814591	64	64	0.844202518463135	0.173230901360512	4.8732790272	2.81268286705017	2.1889967918396	0
24	0	345.5	-448.5	9.56724397838116	-12.4194184318185	-0.544526815414429	-0.538280010223389	-0.00241410471034644	-0.00238641012964002	0	0.00339453308414654	64	64	0.85833340883255	0.17390501499176	4.93564494890052	2.66463661193848	2.62852597236633	0
25	0	361.5	-448.5	10.0103002041578	-12.4194184318185	-0.451179623603821	-0.571595430374146	-0.00200025935127796	-0.0025341106843903	0	0.00322842909680792	64	64	0.881084561347961	0.112820871174335	7.80958835166654	2.57910799980164	2.2785816192627	0
26	0	377.5	-448.5	10.4533564299345	-12.4194184318185	-0.339956402778625	-0.591412723064423	-0.00150716242070779	-0.00262196865258513	0	0.00302427812502964	64	64	0.893928587436676	0.155906230211258	5.73375795326059	2.50188732147217	2.19060730934143	0
27	0	393.5	-448.5	10.8964126557112	-12.4194184318185	-0.211236119270325	-0.440107315778732	-0.000936494027640648	-0.00195117139138638	0	0.00216427605964934	64	64	0.910784780979156	0.114146575331688	7.97908109229376	2.4777250289917	2.55604672431946	0
28	0	409.5	-448.5	11.3394688814878	-12.4194184318185	-0.135736554861069	-0.309199869632721	-0.000601774324386416	-0.00137080643338153	0	0.00149707802578587	64	64	0.896433591842651	0.122858211398125	7.29648903106475	2.51035070419312	2.25461769104004	0
29	0	425.5	-448.5	11.7825251072645	-12.4194184318185	-0.140420377254486	-0.0734801590442657	-0.000622539578515856	-0.000325766873263644	0	0.000702623357521418	64	64	0.891742885112762	0.13456130027771	6.62703825893751	2.55434393882751	2.55316710472107	0
30	0	441.5	-448.5	12.2255813330412	-12.4194184318185	-0.120989426970482	0.103878423571587	-0.000536394420409324	0.000460534512807549	0	0.000706973133671387	64	64	0.909417331218719	0.221233755350113	4.11066263274121	2.52492904663086	1.98280334472656	0
31	0	457.5	-448.5	12.6686375588179	-12.4194184318185	-0.163870289921761	0.18402735888958	-0.000726502400960504	0.000815866733008973	0	0.00109244874691315	64	64	0.900471806526184	0.181168898940086	4.97034431292744	2.61630868911743	2.1423876285553	0
32	0	473.5	-448.5	13.1116937845945	-12.4194184318185	-0.180591896176338	0.242005527019501	-0.000800635955600988	0.00107290709322186	0	0.00133871115782565	64	64	0.867216467857361	0.15832231938839	5.47753766624617	2.63431000709534	2.21546292304993	0
33	0	489.5	-448.5	13.5547500103712	-12.4194184318185	-0.22271066904068	0.257121562957764	-0.000987365286622883	0.00113992251381699	0	0.00150808273869	64	64	0.848712742328644	0.195958465337753	4.33108485956861	2.80742192268372	2.77616333961487	0
34	0	505.5	-448.5	13.9978062361479	-12.4194184318185	-0.339835524559021	0.227652505040169	-0.00150662651931402	0.00100927441804931	0	0.00181343825911693	64	64	0.823036313056946	0.128366023302078	6.41163675468959	2.96855497360229	3.35119342803955	0
