>>*HEADER*<<
FileID:DSExport.TAB
Version:2
GridSize:{Width=119, Height=74}
Originator:7.Project 2024-11-28 14:55:45.Run 16:23:43.Adaptive PIV
CameraInfo:GenTLCamera.0
TimeStamp:#10, 0.056 s
>>*DATA*<<
X[-]	Y[-]	X (pix)[pix]	Y (pix)[pix]	X (mm)[mm]	Y (mm)[mm]	U pix[pix]	V pix[pix]	U[m/s]	V[m/s]	W[m/s]	Length[m/s]	IA Width[pix]	IA Height[pix]	Peak height 1[-]	Peak height 2[-]	Peak height ratio[-]	Peak width 1[pix]	Peak width 2[pix]	Status[-]
0	0	-38.5	-448.5	-1.0661039268598	-12.4194184318185	-0.398499011993408	0.843397736549377	-0.00176469919142587	0.0037348732592685	0	0.00413079187311804	64	64	0.758474826812744	0.151451230049133	5.00804666008115	2.47713375091553	2.16016364097595	0
1	0	-22.5	-448.5	-0.623047759290785	-12.4194184318185	-0.285886764526367	0.887131690979004	-0.00126601102390534	0.0039285431849071	0	0.00412749748253465	64	64	0.761802196502686	0.11078318208456	6.87651484790539	2.7074453830719	3.20666837692261	0
2	0	-6.5	-448.5	-0.179991577169858	-12.4194184318185	-0.219463855028152	0.936287045478821	-0.00097186611725349	0.00414622105042089	0	0.00425859985779583	64	64	0.718897879123688	0.0981194525957108	7.32676202430336	2.87580752372742	3.13650631904602	0
3	0	9.5	-448.5	0.263064604951069	-12.4194184318185	-0.165212348103523	0.947528123855591	-0.000731620627246825	0.00419600065168768	0	0.00425930630633398	64	64	0.7442746758461	0.117331057786942	6.34337310073186	2.99377632141113	3.40459203720093	0
4	0	25.5	-448.5	0.706120801623911	-12.4194184318185	-0.134572699666023	0.891856014728546	-0.000595937071714889	0.00394946421620187	0	0.00399417182761373	64	64	0.750173568725586	0.0934956446290016	8.02362047667927	2.92926621437073	3.27665400505066	0
5	0	41.5	-448.5	1.14917696919292	-12.4194184318185	-0.0929276272654533	0.784324586391449	-0.000411517478741411	0.00347327577174349	0	0.00349756933053371	64	64	0.768174409866333	0.0903666391968727	8.50064157186137	2.97710990905762	2.79591608047485	0
6	0	57.5	-448.5	1.59223307855427	-12.4194184318185	-0.0247224345803261	0.729199945926666	-0.000109479971093886	0.00322916372747711	0	0.00323101907189118	64	64	0.781966805458069	0.105827942490578	7.38903910493857	3.00077724456787	4.45321369171143	0
7	0	73.5	-448.5	2.03528930433095	-12.4194184318185	-0.0350049771368504	0.659638941287994	-0.000155014825608408	0.00292112218923945	0	0.00292523237378255	64	64	0.782159388065338	0.12739822268486	6.13948430034329	2.82582688331604	2.79582643508911	0
8	0	89.5	-448.5	2.47834553010762	-12.4194184318185	-0.0376452803611755	0.71364426612854	-0.000166707052752908	0.0031602774950508	0	0.003164671402715	64	64	0.752052128314972	0.103526078164577	7.26437378531252	2.95097875595093	3.02493524551392	0
9	0	105.5	-448.5	2.92140175588429	-12.4194184318185	-0.0616306215524673	0.743652582168579	-0.000272922905069868	0.00329316528010956	0	0.00330445524621394	64	64	0.726115465164185	0.0932792276144028	7.78432115846625	2.89201140403748	3.11428093910217	0
10	0	121.5	-448.5	3.36445774883032	-12.4194184318185	-0.150984197854996	0.818036079406738	-0.000668613180594793	0.00362256257716931	0	0.00368374852708116	64	64	0.779577434062958	0.136155471205711	5.72564162981837	2.79515290260315	2.14091753959656	0
11	0	137.5	-448.5	3.80751397460699	-12.4194184318185	-0.212981775403023	0.871977686882019	-0.000943161100857079	0.00386143571921216	0	0.00397495140546114	64	64	0.789596080780029	0.121745638549328	6.48562108826681	2.81124925613403	2.80698323249817	0
