Model,DPO2024B
Firmware Version,1.56

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.0002,,,
Sample Interval,3.84025e-07,,,
Filter Frequency,290000,,,
Record Length,5208,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.1,,0.02,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-2.0400e-04,-0.444,-0.448,0.0016,0.0032
-2.0362e-04,-0.444,-0.436,0.0016,-5.72205e-10
-2.0323e-04,-0.444,-0.448,0.0016,0.0032
-2.0285e-04,-0.444,-0.436,0.0016,-5.72205e-10
-2.0246e-04,-0.444,-0.448,0.0016,0.004
-2.0208e-04,-0.444,-0.44,0.0016,-5.72205e-10
-2.0170e-04,-0.444,-0.448,0.0016,0.0032
-2.0131e-04,-0.444,-0.44,0.0016,-5.72205e-10
-2.0093e-04,-0.444,-0.448,0.0016,0.0032
-2.0054e-04,-0.444,-0.44,0.0016,-5.72205e-10
-2.0016e-04,-0.444,-0.448,0.0016,0.004
-1.9978e-04,-0.444,-0.44,0.0016,-5.72205e-10
-1.9939e-04,-0.444,-0.448,0.0016,0.0032
-1.9901e-04,-0.444,-0.436,0.0016,-5.72205e-10
-1.9862e-04,-0.444,-0.448,0.0016,0.0032
-1.9824e-04,-0.444,-0.44,0.0016,-5.72205e-10
-1.9786e-04,-0.444,-0.448,0.0016,0.004
-1.9747e-04,-0.444,-0.436,0.0016,-5.72205e-10
-1.9709e-04,-0.444,-0.448,0.0016,0.0032
-1.9670e-04,-0.444,-0.436,0.0016,-5.72205e-10
-1.9632e-04,-0.444,-0.448,0.0016,0.004
-1.9594e-04,-0.444,-0.436,0.0016,-5.72205e-10
-1.9555e-04,-0.444,-0.448,0.0016,0.004
-1.9517e-04,-0.444,-0.436,0.0016,-5.72205e-10
-1.9478e-04,-0.444,-0.448,0.0016,0.0032
-1.9440e-04,-0.444,-0.436,0.0016,-5.72205e-10
-1.9402e-04,-0.444,-0.448,0.0016,0.0032
-1.9363e-04,-0.444,-0.436,0.0016,0.000799999
-1.9325e-04,-0.444,-0.448,0.0016,0.004
-1.9286e-04,-0.444,-0.436,0.0016,-5.72205e-10
-1.9248e-04,-0.444,-0.448,0.0016,0.0032
-1.9210e-04,-0.444,-0.436,0.0016,-0.000800001
-1.9171e-04,-0.444,-0.448,0.0024,0.0032
-1.9133e-04,-0.444,-0.44,0.0024,0.000799999
-1.9094e-04,-0.444,-0.448,0.0024,0.004
-1.9056e-04,-0.444,-0.44,0.0024,0.000799999
-1.9018e-04,-0.444,-0.448,0.0016,0.004
-1.8979e-04,-0.444,-0.44,0.0016,-5.72205e-10
-1.8941e-04,-0.444,-0.448,0.0024,0.004
-1.8902e-04,-0.444,-0.436,0.0024,-5.72205e-10
-1.8864e-04,-0.444,-0.448,0.0016,0.004
-1.8825e-04,-0.444,-0.44,0.0016,-5.72205e-10
-1.8787e-04,-0.444,-0.448,0.0016,0.0032
-1.8749e-04,-0.444,-0.44,0.0016,-0.000800001
-1.8710e-04,-0.444,-0.448,0.0016,0.004
-1.8672e-04,-0.444,-0.436,0.0016,-5.72205e-10
-1.8633e-04,-0.444,-0.448,0.0016,0.0032
-1.8595e-04,-0.444,-0.436,0.0016,-5.72205e-10
-1.8557e-04,-0.444,-0.448,0.0016,0.004
-1.8518e-04,-0.444,-0.436,0.0016,-5.72205e-10
-1.8480e-04,-0.444,-0.448,0.0016,0.0032
-1.8441e-04,-0.444,-0.44,0.0016,-0.000800001
-1.8403e-04,-0.444,-0.448,0.0016,0.0032
-1.8365e-04,-0.444,-0.44,0.0016,-5.72205e-10
-1.8326e-04,-0.444,-0.448,0.0016,0.0048
-1.8288e-04,-0.444,-0.44,0.0016,-0.000800001
-1.8249e-04,-0.444,-0.448,0.0016,0.004
-1.8211e-04,-0.444,-0.44,0.0016,-5.72205e-10
-1.8173e-04,-0.444,-0.448,0.0016,0.0032
-1.8134e-04,-0.444,-0.436,0.0016,-5.72205e-10
-1.8096e-04,-0.444,-0.448,0.0016,0.0032
-1.8057e-04,-0.444,-0.44,0.0016,-0.000800001
-1.8019e-04,-0.444,-0.448,0.0016,0.0032
-1.7981e-04,-0.444,-0.44,0.0016,-5.72205e-10
-1.7942e-04,-0.444,-0.448,0.0016,0.0032
-1.7904e-04,-0.444,-0.44,0.0016,-5.72205e-10
-1.7865e-04,-0.444,-0.448,0.0016,0.0032
-1.7827e-04,-0.444,-0.44,0.0016,-5.72205e-10
-1.7789e-04,-0.444,-0.448,0.0016,0.004
-1.7750e-04,-0.444,-0.44,0.0016,-5.72205e-10
-1.7712e-04,-0.444,-0.448,0.0016,0.004
-1.7673e-04,-0.444,-0.436,0.0016,-5.72205e-10
-1.7635e-04,-0.444,-0.448,0.0016,0.0032
-1.7597e-04,-0.444,-0.436,0.0016,-5.72205e-10
